generation,hypervolume,mean_speed,mean_safety,mean_smoothness,crash_rate,pareto_size,elapsed_s
1,31629.889985,7.3862,-7.0800,-2.0235,0.7080,8,90.8
2,32088.306335,6.7918,-5.1600,-1.1576,0.5160,6,175.3
3,33031.206882,5.8536,-3.6400,-1.7263,0.3640,7,272.7
4,33031.206882,6.2985,-3.5600,-3.0392,0.3560,7,361.4
5,33031.206882,8.5927,-4.8800,-5.5408,0.4880,8,465.8
6,33042.331556,8.9239,-4.8400,-6.3696,0.4840,9,558.6
7,33042.750564,9.8530,-4.8800,-7.4619,0.4880,11,654.5
8,33043.591406,9.8296,-4.6400,-8.1625,0.4640,12,752.9
9,33695.775274,10.4813,-5.0400,-7.5969,0.5040,12,851.6
10,33695.775274,10.7482,-5.1600,-6.8525,0.5160,12,935.5
11,33722.838115,10.5705,-4.8800,-7.4432,0.4880,12,1031.9
12,33722.838115,11.3623,-5.2400,-6.2269,0.5240,11,1139.1
13,33722.838115,11.4319,-5.2400,-6.0820,0.5240,11,1233.3
14,33765.281526,11.6602,-5.1600,-7.0038,0.5160,10,1330.1
15,33765.281526,11.8432,-5.2400,-7.0340,0.5240,10,1430.1
16,33765.281526,11.4424,-5.0800,-7.0277,0.5080,10,1541.5
17,33765.281526,11.2746,-4.9200,-6.9759,0.4920,10,1640.9
18,34011.781606,11.6419,-5.1600,-6.7725,0.5160,12,1727.4
19,34011.781606,11.4735,-4.9600,-7.3243,0.4960,12,1832.9
20,34011.781606,11.4579,-4.9600,-7.3138,0.4960,12,1928.6
21,34011.781606,11.3269,-4.9200,-7.4509,0.4920,12,2014.3
22,34011.781606,11.2678,-4.9200,-7.3809,0.4920,12,2114.2
23,34149.255338,11.0958,-4.6400,-7.6978,0.4640,14,2213.1
24,34289.166010,11.7122,-5.1200,-6.4730,0.5120,13,2303.4
25,34321.811996,12.1183,-5.2400,-6.3115,0.5240,14,2411.9
26,34322.099472,11.9380,-5.1200,-6.1646,0.5120,15,2513.3
27,34322.099472,12.0239,-5.0400,-7.3731,0.5040,16,2609.6
28,34322.950099,12.4240,-5.4000,-7.3789,0.5400,17,2714.3
29,34322.950099,12.6616,-5.6000,-6.9759,0.5600,17,2827.3
30,34322.950099,12.7355,-5.6000,-6.6955,0.5600,17,2932.5
31,33750.730490,9.2606,-6.8800,-5.6407,0.6880,8,88.3
32,33863.290577,8.5189,-4.6800,-5.9025,0.4680,11,188.6
33,33863.290577,7.3089,-3.3600,-4.6820,0.3360,11,280.5
34,33863.290577,7.5819,-3.5200,-5.4540,0.3520,11,379.9
35,33863.290577,8.3273,-3.8400,-5.9092,0.3840,11,492.9
36,33863.352826,8.5348,-3.7600,-6.9626,0.3760,12,611.7
37,33863.352826,8.8646,-3.8400,-6.6506,0.3840,12,712.3
38,33902.277014,9.0419,-3.7600,-6.5411,0.3760,12,807.9
39,33920.324234,9.2353,-3.8400,-6.3738,0.3840,13,903.9
40,33975.035785,9.7111,-3.8400,-6.9554,0.3840,15,1009.3
41,34116.769626,10.4562,-4.1600,-7.8170,0.4160,16,1107.7
42,34116.769626,10.5098,-4.2000,-7.9700,0.4200,16,1208.2
