generation,mean_fitness,best_fitness,sigma,elapsed_s,crash_rate
1,-4.6583,-0.7591,0.496912,113.2,0.6880
2,-5.4358,0.1336,0.494044,214.3,0.7600
3,-2.4843,2.7629,0.491306,322.8,0.7840
4,-4.4580,-0.7495,0.488695,415.2,0.8720
5,-1.2329,3.3195,0.486179,529.4,0.8240
6,-4.0219,1.0824,0.483759,640.9,0.7040
7,-2.7529,2.1273,0.481425,747.0,0.6400
8,0.3206,3.7520,0.479187,854.6,0.7920
9,-1.8876,3.2973,0.477016,976.8,0.6720
10,-0.9106,7.1950,0.474915,1119.5,0.5520
11,-2.6690,-0.8844,0.472869,1252.4,0.6320
12,-1.5483,3.1696,0.470882,1367.3,0.7280
13,1.6616,7.4224,0.468948,1497.8,0.5680
14,0.1474,3.1257,0.467057,1641.6,0.8320
15,0.4818,5.1915,0.465226,1747.9,0.7760
